"","region","year","tfr_male","tfr_female","tfr_ratio","country","U"
"2705","Wyoming",2003,1.95745239065792,2.04180642135991,0.958686568021561,"United States",-0.0421848320736373
"2706","Wyoming",2004,1.95623614347581,2.04081909181218,0.958554411473451,"United States",-0.042322631716286
"2707","Australian Capital Territory",1990,1.74512281,1.77440402,0.983498002895643,"Australia",-0.0166392878442696
"2708","Australian Capital Territory",1991,1.83224102,1.84177158,0.994825330077034,"Australia",-0.00518809325803617
"2709","Australian Capital Territory",1992,1.726254,1.71530873,1.0063809329531,"Australia",0.00636063954586113
"2710","Australian Capital Territory",1993,1.6972868,1.68090378,1.00974655432091,"Australia",0.00969928700707
"2711","Australian Capital Territory",1994,1.69595534,1.68772925,1.00487405785021,"Australia",0.00486220850744245
"2712","Australian Capital Territory",1995,1.65358166,1.64927256,1.00261272763794,"Australia",0.00260931891810832
"2713","Australian Capital Territory",1996,1.6528473,1.64745033,1.00327595309049,"Australia",0.00327059593107052
"2714","Australian Capital Territory",1997,1.61081556,1.59321983,1.0110441319325,"Australia",0.0109834804290349
"2715","Australian Capital Territory",1998,1.5190964,1.51897503,1.0000799025643,"Australia",7.98993722145694e-05
"2716","Australian Capital Territory",1999,1.6291802,1.61869593,1.00647698545829,"Australia",0.00645607749825105
"2717","Australian Capital Territory",2000,1.56479459,1.54919343,1.01007050488201,"Australia",0.010020051393775
"2718","Australian Capital Territory",2001,1.48667187,1.48063802,1.00407516889239,"Australia",0.00406688227632328
"2719","Australian Capital Territory",2002,1.5205717,1.51048842,1.00667550963416,"Australia",0.00665330254155443
"2720","Australian Capital Territory",2003,1.53471956,1.5203282,1.00946595610079,"Australia",0.00942136498710585
"2721","Australian Capital Territory",2004,1.59136451,1.59069349,1.00042184116816,"Australia",0.000421752211933262
"2722","Australian Capital Territory",2005,1.58593622,1.59342027,0.995303153762441,"Australia",-0.00470790238435952
"2723","Australian Capital Territory",2006,1.6809184,1.68665293,0.996600053337588,"Australia",-0.00340573632333425
"2724","Australian Capital Territory",2007,1.73730176,1.74778459,0.994002218545708,"Australia",-0.00601582224784757
"2725","Australian Capital Territory",2008,1.72991898,1.73774878,0.9954942854283,"Australia",-0.00451588822338613
"2726","Australian Capital Territory",2009,1.70167833,1.72300532,0.987622214654567,"Australia",-0.0124548671816738
"2727","Australian Capital Territory",2010,1.77876046,1.78142445,0.998504573124052,"Australia",-0.00149654586340015
"2728","Australian Capital Territory",2011,1.73463909,1.73645573,0.998953823026631,"Australia",-0.00104672450290491
"2729","Australian Capital Territory",2012,1.79172831,1.78490175,1.00382461387581,"Australia",0.00381731399975983
"2730","Australian Capital Territory",2013,1.7921326,1.7743714,1.01000985475758,"Australia",0.00996000565259427
"2731","Australian Capital Territory",2014,1.75328347,1.74617523,1.00407074838646,"Australia",0.00406247972007784
"2732","Australian Capital Territory",2015,1.71652731,1.71158392,1.0028881960985,"Australia",0.00288403127456281
"2733","Australian Capital Territory",2016,1.57714913,1.55857945,1.01191449046759,"Australia",0.0118439332526669
"2734","Australian Capital Territory",2017,1.85116582,1.81466771,1.02011283377054,"Australia",0.0199125845193522
"2735","Australian Capital Territory",2018,1.54187087,1.50867354,1.02200431645404,"Australia",0.0217648560638394
"2736","Australian Capital Territory",2019,1.52565492,1.501382,1.01616705142329,"Australia",0.0160374125862991
"2737","Australian Capital Territory",2020,1.44137393,1.42453357,1.01182166595063,"Australia",0.0117522006554641
"2738","New South Wales",1990,1.86231902,1.95622492,0.951996368597533,"Australia",-0.0491841400677977
"2739","New South Wales",1991,1.78953486,1.87438042,0.95473407687432,"Australia",-0.0463141494909238
"2740","New South Wales",1992,1.88512841,1.97547445,0.954266156163144,"Australia",-0.0468041097602045
"2741","New South Wales",1993,1.82034569,1.91371223,0.951211818299348,"Australia",-0.0500080834311216
"2742","New South Wales",1994,1.78900179,1.88356114,0.949797568025851,"Australia",-0.0514950195829593
"2743","New South Wales",1995,1.78290754,1.87458631,0.951093865611341,"Australia",-0.0501320159431026
"2744","New South Wales",1996,1.74829972,1.83568015,0.952398880600196,"Australia",-0.0487616745459007
"2745","New South Wales",1997,1.76047203,1.84136082,0.95607118978452,"Australia",-0.044915349139536
"2746","New South Wales",1998,1.7309905,1.81137766,0.955620982981539,"Australia",-0.0453861125490695
"2747","New South Wales",1999,1.75971843,1.83727368,0.957787862067452,"Australia",-0.0431222797427821
"2748","New South Wales",2000,1.75258012,1.83179985,0.956753064479179,"Australia",-0.0442027523103249
"2749","New South Wales",2001,1.69569011,1.77859729,0.953386199076015,"Australia",-0.0477261495407663
"2750","New South Wales",2002,1.73220555,1.8146125,0.954587026155722,"Australia",-0.0464681011759258
"2751","New South Wales",2003,1.72986918,1.80698642,0.957322734057957,"Australia",-0.043607796710728
"2752","New South Wales",2004,1.72945372,1.8031846,0.959110742183579,"Australia",-0.0417426712395511
"2753","New South Wales",2005,1.83384413,1.91251682,0.958864314720118,"Australia",-0.0419995248989557
"2754","New South Wales",2006,1.85316312,1.92853394,0.960918074379339,"Australia",-0.0398608449086082
"2755","New South Wales",2007,1.92234442,2.00075101,0.960811420507542,"Australia",-0.0399717984938236
"2756","New South Wales",2008,1.97857138,2.05293106,0.963778773944801,"Australia",-0.0368893141485982
"2757","New South Wales",2009,1.90905125,1.9793414,0.964488112055859,"Australia",-0.0361538333840848
"2758","New South Wales",2010,1.94845018,2.01968905,0.964727803024926,"Australia",-0.0359054286510003
"2759","New South Wales",2011,1.90048135,1.96397699,0.967669865623018,"Australia",-0.0328613401483841
"2760","New South Wales",2012,1.87526237,1.93401857,0.96961962986736,"Australia",-0.0308489717222065
"2761","New South Wales",2013,1.88981828,1.94326976,0.972494050440017,"Australia",-0.0278895133334844
"2762","New South Wales",2014,1.68956981,1.72823371,0.977628083646164,"Australia",-0.0226249986424029
"2763","New South Wales",2015,1.81756203,1.86050886,0.976916621617163,"Australia",-0.0233529104165798
"2764","New South Wales",2016,1.71331388,1.74719342,0.980609164610979,"Australia",-0.0195806782433316
"2765","New South Wales",2017,1.688906,1.72101548,0.981342712849974,"Australia",-0.0188329732448853
"2766","New South Wales",2018,1.83832715,1.88753578,0.97392969684527,"Australia",-0.0264146217531411
"2767","New South Wales",2019,1.6644161,1.720756,0.967258635158035,"Australia",-0.0332862840267412
"2768","New South Wales",2020,1.59940111,1.65956631,0.963746432042236,"Australia",-0.0369228606771404
"2769","Northern Territory",1990,1.82273789,2.27555766,0.801007121041266,"Australia",-0.220979558197066
"2770","Northern Territory",1991,1.8341691,2.27173508,0.807386880692092,"Australia",-0.213139888715084
"2771","Northern Territory",1992,1.87255632,2.37464542,0.788562496206276,"Australia",-0.236432894284885
"2772","Northern Territory",1993,1.74251158,2.26602017,0.768974435033383,"Australia",-0.261197177744694
"2773","Northern Territory",1994,1.74588814,2.27971201,0.765837146245503,"Australia",-0.265214551922153
"2774","Northern Territory",1995,1.74017731,2.32662007,0.747942189804973,"Australia",-0.288405202031482
"2775","Northern Territory",1996,1.5834628,2.16549996,0.731222733432884,"Australia",-0.310505703716299
"2776","Northern Territory",1997,1.630472,2.13849916,0.762437521836576,"Australia",-0.26958399968229
"2777","Northern Territory",1998,1.62545209,2.16393394,0.751156058858248,"Australia",-0.284205328112217
"2778","Northern Territory",1999,1.57562936,2.11449491,0.745156374010851,"Australia",-0.292058212988041
"2779","Northern Territory",2000,1.56189891,2.16975477,0.719850432682768,"Australia",-0.325783640243915
"2780","Northern Territory",2001,1.61331737,2.25953675,0.714003598303944,"Australia",-0.333717387733675
"2781","Northern Territory",2002,1.60904928,2.23032599,0.721441299260473,"Australia",-0.323634271885071
"2782","Northern Territory",2003,1.65337997,2.30058468,0.718678162283511,"Australia",-0.327370003168845
"2783","Northern Territory",2004,1.58722102,2.15548608,0.736363382128638,"Australia",-0.303665258764171
"2784","Northern Territory",2005,1.65645693,2.19232782,0.755569908336063,"Australia",-0.278462384782625
"2785","Northern Territory",2006,1.65584353,2.20261364,0.751763041837878,"Australia",-0.283413854766204
"2786","Northern Territory",2007,1.73918294,2.26683157,0.767230774009381,"Australia",-0.26342821708851
"2787","Northern Territory",2008,1.78915205,2.22788512,0.80307195103489,"Australia",-0.218436151538025
"2788","Northern Territory",2009,1.62537388,2.10324437,0.77279364356506,"Australia",-0.256325779663821
"2789","Northern Territory",2010,1.63983204,2.11756698,0.774394413724755,"Australia",-0.254290235057335
"2790","Northern Territory",2011,1.67814751,2.1513665,0.780037947973997,"Australia",-0.247143104197705
"2791","Northern Territory",2012,1.72712027,2.16915695,0.796217290777415,"Australia",-0.226902068328701
"2792","Northern Territory",2013,1.65527166,2.06657465,0.800973562701933,"Australia",-0.221020942694434
"2793","Northern Territory",2014,1.54822699,2.0460044,0.756707556445138,"Australia",-0.276986846970918
"2794","Northern Territory",2015,1.54484652,2.01014845,0.768523598344192,"Australia",-0.261773608079113
"2795","Northern Territory",2016,1.52670034,1.9462213,0.784443341566553,"Australia",-0.241595407836498
"2796","Northern Territory",2017,1.52024293,1.88962026,0.804522983893071,"Australia",-0.216652287448518
"2797","Northern Territory",2018,1.48148014,1.981833,0.747530261126947,"Australia",-0.288944626012074
"2798","Northern Territory",2019,1.46117581,1.78040867,0.820696862816333,"Australia",-0.196960999763918
"2799","Northern Territory",2020,1.48329387,1.80433112,0.822074093584331,"Australia",-0.195300407422685
"2800","Queensland",1990,1.81708949,1.93428867,0.939409674565276,"Australia",-0.062483266149846
"2801","Queensland",1991,1.78059826,1.87712091,0.948579417827699,"Australia",-0.0527775072464079
"2802","Queensland",1992,1.84139369,1.9328414,0.952687421740863,"Australia",-0.0484589368809032
"2803","Queensland",1993,1.82184924,1.91862016,0.949562231223506,"Australia",-0.0517426609612152
"2804","Queensland",1994,1.77561896,1.87878892,0.945086987206631,"Australia",-0.0564632976875039
"2805","Queensland",1995,1.74344565,1.84450949,0.945208284073399,"Australia",-0.0563350633196602
"2806","Queensland",1996,1.76651141,1.87170114,0.943799932717891,"Australia",-0.0578249503317228
"2807","Queensland",1997,1.7279347,1.82586981,0.946362490105469,"Australia",-0.0551156428128906
"2808","Queensland",1998,1.74070795,1.82231262,0.955219170901643,"Australia",-0.0458064546060142
"2809","Queensland",1999,1.72132368,1.80053499,0.956006792181251,"Australia",-0.0449826738788471
"2810","Queensland",2000,1.75168576,1.82127362,0.961791649955376,"Australia",-0.0389525055277846
"2811","Queensland",2001,1.76170478,1.82832889,0.96356010651891,"Australia",-0.0371161477156841
"2812","Queensland",2002,1.72921388,1.81621985,0.95209502307774,"Australia",-0.049080578922568
"2813","Queensland",2003,1.71184484,1.80341043,0.949226427619142,"Australia",-0.0520961255823678
"2814","Queensland",2004,1.75534241,1.83648706,0.955815289000729,"Australia",-0.0451829078622712
"2815","Queensland",2005,1.79115508,1.87017253,0.957748577346498,"Australia",-0.0431632775959101
"2816","Queensland",2006,1.79305548,1.87175233,0.957955521818423,"Australia",-0.0429473271614754
"2817","Queensland",2007,2.0356232,2.12765241,0.956746125651229,"Australia",-0.0442100012686886
"2818","Queensland",2008,2.02826515,2.1337115,0.950580783765753,"Australia",-0.05067128379973
"2819","Queensland",2009,2.03696588,2.17121255,0.938169724562434,"Australia",-0.0638027461207247
"2820","Queensland",2010,1.97726686,2.08281346,0.949324986597696,"Australia",-0.0519923704366519
"2821","Queensland",2011,1.92847858,2.01469784,0.957204868001447,"Australia",-0.0437308660919614
"2822","Queensland",2012,1.90904226,1.99617596,0.956349689733765,"Australia",-0.0446242412543081
"2823","Queensland",2013,1.86787344,1.94656399,0.9595746400302,"Australia",-0.0412593214302639
"2824","Queensland",2014,1.84216741,1.91272304,0.963112469226073,"Australia",-0.037580659643479
"2825","Queensland",2015,1.79374455,1.85004502,0.96956805407903,"Australia",-0.0309021522337801
"2826","Queensland",2016,1.79280405,1.82652854,0.981536291789889,"Australia",-0.0186357507421002
"2827","Queensland",2017,1.72061968,1.77747717,0.968012253006884,"Australia",-0.032507670563781
"2828","Queensland",2018,1.7107486,1.77131811,0.965805402396072,"Australia",-0.0347894024121094
"2829","Queensland",2019,1.68077725,1.73909912,0.966464320906562,"Australia",-0.0341075896845944
"2830","Queensland",2020,1.6037747,1.65769714,0.967471476725839,"Australia",-0.0330663225962423
"2831","South Australia",1990,1.65896442,1.74817699,0.948968227753644,"Australia",-0.0523679878611202
"2832","South Australia",1991,1.63443034,1.72752075,0.946113289811425,"Australia",-0.0553788008855299
"2833","South Australia",1992,1.60878775,1.70294897,0.944706963239186,"Australia",-0.0568651604648089
"2834","South Australia",1993,1.68996695,1.78868388,0.944810298172978,"Australia",-0.05675587164349
"2835","South Australia",1994,1.64420416,1.74692348,0.941199874421517,"Australia",-0.0605812171670424
"2836","South Australia",1995,1.65842117,1.76463456,0.939809979693473,"Australia",-0.0620576457865616
"2837","South Australia",1996,1.6500214,1.76105543,0.936950292359622,"Australia",-0.0651020399326509
"2838","South Australia",1997,1.60458252,1.70813005,0.939379598175209,"Australia",-0.0625152516627787
"2839","South Australia",1998,1.60775464,1.70942195,0.940525327874724,"Australia",-0.061297496374771
"2840","South Australia",1999,1.59723433,1.70709488,0.935644731123557,"Australia",-0.0664949180411718
"2841","South Australia",2000,1.5995638,1.71891991,0.930563309374897,"Australia",-0.0719341243956265
"2842","South Australia",2001,1.56243272,1.6867802,0.926281159809678,"Australia",-0.0765400625084305
"2843","South Australia",2002,1.59709229,1.73160607,0.922318486675206,"Australia",-0.0808206484651256
"2844","South Australia",2003,1.592961,1.71835001,0.927029412360524,"Australia",-0.0757337559784213
"2845","South Australia",2004,1.5728196,1.69585089,0.927451587444696,"Australia",-0.0752791022382926
"2846","South Australia",2005,1.63984273,1.77142305,0.925720555572538,"Australia",-0.0771445724173389
"2847","South Australia",2006,1.68016873,1.80702662,0.92979744260768,"Australia",-0.0727564000680374
"2848","South Australia",2007,1.80753096,1.93051251,0.936295906209901,"Australia",-0.0657999571096481
"2849","South Australia",2008,1.843533,1.96521401,0.938082565369051,"Australia",-0.0638955591854865
"2850","South Australia",2009,1.77416271,1.88515672,0.94112213121464,"Australia",-0.0606637447881941
"2851","South Australia",2010,1.78982209,1.89034059,0.946825190903825,"Australia",-0.0546272046865058
"2852","South Australia",2011,1.76801067,1.86328635,0.948866860963158,"Australia",-0.0524747380758185
"2853","South Australia",2012,1.80606508,1.89716753,0.951979754787391,"Australia",-0.0492015812098824
"2854","South Australia",2013,1.76038365,1.84717069,0.953016231542739,"Australia",-0.048114058345688
"2855","South Australia",2014,1.77811703,1.8511683,0.960537747972456,"Australia",-0.0402565592714089
"2856","South Australia",2015,1.70066117,1.7552863,0.968879646585289,"Australia",-0.0316122455414521
"2857","South Australia",2016,1.71292852,1.75990302,0.973308472417986,"Australia",-0.0270525647207177
"2858","South Australia",2017,1.64037952,1.6781342,0.977501990007712,"Australia",-0.0227539695089764
"2859","South Australia",2018,1.61950724,1.65900616,0.976191215588976,"Australia",-0.0240956282197902
"2860","South Australia",2019,1.62155293,1.66485165,0.973992445513088,"Australia",-0.0263502067052256
"2861","South Australia",2020,1.52427029,1.55951594,0.977399621833939,"Australia",-0.0228586856359366
"2862","Tasmania",1990,1.88314535,1.94918357,0.966120061231585,"Australia",-0.0344637537009741
"2863","Tasmania",1991,1.83147579,1.90578534,0.96100843655351,"Australia",-0.0397668492594736
"2864","Tasmania",1992,1.87923461,1.94457766,0.966397305006579,"Australia",-0.0341769131882618
"2865","Tasmania",1993,1.8612867,1.91864826,0.970103139175703,"Australia",-0.0303505539682619
"2866","Tasmania",1994,1.87501188,1.94428765,0.964369588008235,"Australia",-0.0362766886733285
"2867","Tasmania",1995,1.81868975,1.8883164,0.963127656996465,"Australia",-0.0375648958661695
"2868","Tasmania",1996,1.81713561,1.88511961,0.963936505864474,"Australia",-0.0367257230850768
"2869","Tasmania",1997,1.71201278,1.78388369,0.959710988780889,"Australia",-0.0411172988769887
"2870","Tasmania",1998,1.74002713,1.80844355,0.962168340836517,"Australia",-0.0385610738652066
"2871","Tasmania",1999,1.79678248,1.87019334,0.960746914006228,"Australia",-0.0400389114101111
"2872","Tasmania",2000,1.73151419,1.79934797,0.962300910590407,"Australia",-0.0384233521027623
"2873","Tasmania",2001,2.0129918,2.06347671,0.975534053883264,"Australia",-0.0247689439406462
"2874","Tasmania",2002,1.81329987,1.86805601,0.970688170104707,"Australia",-0.0297478112873999
"2875","Tasmania",2003,1.75546086,1.80148079,0.9744543876041,"Australia",-0.0258761231014291
"2876","Tasmania",2004,1.77771003,1.81967793,0.9769366329568,"Australia",-0.0233324292329038
"2877","Tasmania",2005,1.90116522,1.95781621,0.971064194018498,"Australia",-0.0293605921809269
"2878","Tasmania",2006,1.92220069,1.96310661,0.979162659943364,"Australia",-0.021056723106561
"2879","Tasmania",2007,2.04972879,2.1030778,0.974632888046272,"Australia",-0.0256929904361377
"2880","Tasmania",2008,2.10479082,2.17633342,0.967127003912847,"Australia",-0.0334223423518306
"2881","Tasmania",2009,2.0272079,2.10213698,0.964355757634786,"Australia",-0.0362910254180561
"2882","Tasmania",2010,1.95265067,2.02077983,0.966285708621706,"Australia",-0.034292362732908
"2883","Tasmania",2011,2.00560214,2.08955828,0.959821106305779,"Australia",-0.0410026135191059
"2884","Tasmania",2012,1.87662788,1.95797465,0.958453614299858,"Australia",-0.0424277454383257
"2885","Tasmania",2013,1.90925582,1.9910087,0.958938963953297,"Australia",-0.0419217104792677
"2886","Tasmania",2014,1.88251508,1.95160294,0.964599428201312,"Australia",-0.0360384628953074
"2887","Tasmania",2015,1.80688195,1.87326068,0.964565139967599,"Australia",-0.0360739985776041
"2888","Tasmania",2016,1.89417584,1.95848853,0.967162079831022,"Australia",-0.0333860849654028
"2889","Tasmania",2017,1.70481944,1.76073428,0.968243453520994,"Australia",-0.0322689212273991
"2890","Tasmania",2018,1.61498274,1.65237404,0.97737116470312,"Australia",-0.0228877973956673
"2891","Tasmania",2019,1.58753521,1.62851715,0.974834812147972,"Australia",-0.0254858661567313
"2892","Tasmania",2020,1.50971988,1.57979828,0.955640918915293,"Australia",-0.0453652617468349
"2893","Victoria",1990,1.83596299,1.86652653,0.983625445709577,"Australia",-0.0165097239762072
"2894","Victoria",1991,1.78748461,1.81352943,0.985638600857996,"Australia",-0.0144652698993643
"2895","Victoria",1992,1.78984197,1.81830272,0.984347628320107,"Australia",-0.0157758363066089
"2896","Victoria",1993,1.75145328,1.78165255,0.98304985447359,"Australia",-0.0170950271251852
"2897","Victoria",1994,1.76025056,1.7923238,0.982105220050082,"Australia",-0.018056337038924
"2898","Victoria",1995,1.72210337,1.75934999,0.978829328893224,"Australia",-0.0213971673025659
"2899","Victoria",1996,1.68662573,1.71463281,0.983665843884091,"Australia",-0.016468656922505
"2900","Victoria",1997,1.67873305,1.70105627,0.986876847995158,"Australia",-0.0132098293037982
"2901","Victoria",1998,1.68826293,1.69564533,0.99564625935071,"Australia",-0.00436323885447179
"2902","Victoria",1999,1.64387005,1.64635076,0.998493206878952,"Australia",-0.00150792918971292
"2903","Victoria",2000,1.64426639,1.65117415,0.99581645582327,"Australia",-0.00419231354118125
"2904","Victoria",2001,1.61493648,1.63091493,0.99020276919042,"Australia",-0.00984545993126666
"2905","Victoria",2002,1.68282808,1.70098613,0.989324986441835,"Australia",-0.0107322972675855
"2906","Victoria",2003,1.66288556,1.68215991,0.988541903843137,"Australia",-0.011524118385153
"2907","Victoria",2004,1.69167022,1.71650219,0.985533388687375,"Australia",-0.0145720151522498
"2908","Victoria",2005,1.70614159,1.7331105,0.984439012976957,"Australia",-0.015683008569459
"2909","Victoria",2006,1.74480119,1.7748835,0.983051107298028,"Australia",-0.0170937527929526
"2910","Victoria",2007,1.85902223,1.89068175,0.983254971387966,"Australia",-0.0168864103240491
"2911","Victoria",2008,1.84210702,1.87668168,0.981576705112825,"Australia",-0.0185945816173959
"2912","Victoria",2009,1.79735646,1.82527837,0.984702656614509,"Australia",-0.0154152495685025
"2913","Victoria",2010,1.76227399,1.78134069,0.989296432677345,"Australia",-0.0107611587160487
"2914","Victoria",2011,1.7602736,1.77890216,0.989528058136711,"Australia",-0.01052706124999
"2915","Victoria",2012,1.86497449,1.88706336,0.988294579573629,"Australia",-0.0117743321805775
"2916","Victoria",2013,1.74330383,1.75935054,0.99087918545215,"Australia",-0.00916259973432657
"2917","Victoria",2014,1.7164403,1.71953066,0.998202788660948,"Australia",-0.00179882777589021
